//0
//File updated on 06/05/2018 19:11
//WMO ID: 5904396
//Univ. of Washington ID: 9031
//MBARI ID: 9031SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 27 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for raw data station(s): 130 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	5386	
//Temperature[°C]	Sbe41cp	5386	
//Salinity[pss]	Sbe41cp	5386	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1461	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#G2.C01.7408 Spec#072 APEX Ti Equitech probe 20130920RR10.01 MBARI ARGO float#0107	
//Chl_a[mg/m^3]	FLBBAP2	3306	
//b_bp700[1/m]	FLBBAP2	3306	
//pHinsitu[Total]	Durafet	0061	
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	b_bp700[1/m]	QF	pHinsitu[Total]	QF
5904396	1	C	04/12/2014	03:18	209.989	-55.010	0	1498.85	0	2.1721	0	34.6922	0	27.719	0	1480.015	0	164.3	4	49.8	4	34.39	4	0.0144	4	0.000233	4	7.7905	4
5904396	1	C	04/12/2014	03:18	209.989	-55.010	0	1398.50	0	2.2552	0	34.6734	0	27.697	0	1381.254	0	161.1	4	48.9	4	34.71	4	0.0216	4	0.000244	4	7.7842	4
5904396	1	C	04/12/2014	03:18	209.989	-55.010	0	1299.59	0	2.3099	0	34.6497	0	27.673	0	1283.865	0	157.3	4	47.8	4	35.13	4	0.0144	4	0.000233	4	7.7809	4
5904396	1	C	04/12/2014	03:18	209.989	-55.010	0	1198.89	0	2.3621	0	34.6337	0	27.655	0	1184.667	0	156.5	4	47.6	4	35.27	4	0.0216	4	0.000244	4	7.7792	4
5904396	1	C	04/12/2014	03:18	209.989	-55.010	0	1098.63	0	2.4310	0	34.6069	0	27.627	0	1085.855	0	155.7	4	47.5	4	35.60	4	0.0144	4	0.000309	4	7.7765	4
5904396	1	C	04/12/2014	03:18	209.989	-55.010	0	999.35	0	2.5182	0	34.5648	0	27.586	0	987.963	0	156.0	4	47.6	4	36.03	4	0.0288	4	0.000255	4	7.7733	4
5904396	1	C	04/12/2014	03:18	209.989	-55.010	0	951.03	0	2.5613	0	34.5438	0	27.565	0	940.302	0	156.4	4	47.8	4	35.96	4	0.0216	4	0.000266	4	7.7655	4
5904396	1	C	04/12/2014	03:18	209.989	-55.010	0	900.79	0	2.5845	0	34.5230	0	27.546	0	890.736	0	157.7	4	48.2	4	36.16	4	0.0288	4	0.000256	4	7.7658	4
5904396	1	C	04/12/2014	03:18	209.989	-55.010	0	851.09	0	2.6141	0	34.5036	0	27.528	0	841.690	0	159.1	4	48.7	4	36.13	4	0.0288	4	0.000266	4	7.7666	4
5904396	1	C	04/12/2014	03:18	209.989	-55.010	0	801.73	0	2.6596	0	34.4735	0	27.500	0	792.969	0	161.5	4	49.5	4	36.19	4	0.0216	4	0.000277	4	7.7681	4
5904396	1	C	04/12/2014	03:18	209.989	-55.010	0	750.82	0	2.6742	0	34.4308	0	27.464	0	742.706	0	165.5	4	50.7	4	36.21	4	0.0216	4	0.000288	4	7.7691	4
5904396	1	C	04/12/2014	03:18	209.989	-55.010	0	701.06	0	2.7817	0	34.4055	0	27.434	0	693.566	0	169.8	4	52.1	4	35.98	4	0.0216	4	0.000321	4	7.7774	4
