//0
//File updated on 09/11/2018 21:52
//WMO ID: 5904397
//Univ. of Washington ID: 9125
//MBARI ID: 9125SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for raw data station(s): 87 
//
//SPECIAL NOTICE:
//pH data for this float is bad beyond cycle 36.
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	5387	
//Temperature[°C]	Sbe41cp	5387	
//Salinity[pss]	Sbe41cp	5387	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1463	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L1.C01.6702 Spec#065 APEX Equitech probe 20130905RR10.04 MBARI ARGO float#0105	
//Chl_a[mg/m^3]	FLBBAP2	3309	
//b_bp700[1/m]	FLBBAP2	3309	
//pHinsitu[Total]	Durafet	0050	
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	b_bp700[1/m]	QF	pHinsitu[Total]	QF
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	1598.96	0	-0.0459	0	34.6610	0	27.839	0	1577.708	0	188.18	4	53.9	4	32.81	4	0.0288	4	0.000184	4	7.7375	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	1498.81	0	-0.0125	0	34.6624	0	27.838	0	1479.239	0	185.42	4	53.1	4	33.04	4	0.0216	4	0.000184	4	7.7364	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	1398.71	0	0.0237	0	34.6639	0	27.837	0	1380.773	0	183.37	4	52.6	4	33.01	4	0.0144	4	0.000162	4	7.7390	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	1299.20	0	0.0604	0	34.6656	0	27.836	0	1282.842	0	181.44	4	52.1	4	33.19	4	0.0144	4	0.000195	4	7.7397	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	1198.81	0	0.0943	0	34.6672	0	27.836	0	1183.998	0	179.56	4	51.6	4	33.17	4	0.0216	4	0.000206	4	7.7431	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	1099.68	0	0.1263	0	34.6686	0	27.835	0	1086.349	0	177.81	4	51.1	4	33.23	4	0.0144	4	0.000184	4	7.7447	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	999.61	0	0.1598	0	34.6704	0	27.834	0	987.728	0	175.97	4	50.7	4	33.20	4	0.0144	4	0.000206	4	7.7460	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	951.60	0	0.1800	0	34.6716	0	27.834	0	940.396	0	174.85	4	50.4	4	33.30	4	0.0144	4	0.000195	4	7.7285	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	901.46	0	0.2003	0	34.6727	0	27.833	0	890.953	0	173.84	4	50.1	4	33.33	4	0.0144	4	0.000283	4	7.7296	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	851.13	0	0.2229	0	34.6736	0	27.833	0	841.311	0	172.51	4	49.7	4	33.37	4	0.0216	4	0.000217	4	7.7312	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	801.45	0	0.2467	0	34.6741	0	27.832	0	792.298	0	171.28	4	49.4	4	33.46	4	0.0216	4	0.000217	4	7.7317	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	750.39	0	0.2720	0	34.6757	0	27.831	0	741.912	0	169.79	4	49.0	4	33.33	4	0.0216	4	0.000184	4	7.7316	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	701.61	0	0.2980	0	34.6769	0	27.831	0	693.764	0	168.42	4	48.7	4	33.49	4	0.0360	4	0.000239	4	7.7322	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	651.31	0	0.3253	0	34.6780	0	27.830	0	644.104	0	167.41	4	48.4	4	33.49	4	0.0216	4	0.000261	4	7.7332	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	601.20	0	0.3486	0	34.6791	0	27.829	0	594.620	0	166.17	4	48.1	4	33.59	4	0.0288	4	0.000250	4	7.7326	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	551.30	0	0.3727	0	34.6796	0	27.828	0	545.332	0	164.74	4	47.7	4	33.55	4	0.0360	4	0.000228	4	7.7326	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	501.72	0	0.3930	0	34.6803	0	27.828	0	496.348	0	164.12	4	47.5	4	33.71	4	0.0144	4	0.000217	4	7.7332	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	450.84	0	0.4235	0	34.6809	0	27.826	0	446.067	0	162.73	4	47.2	4	33.70	4	0.0288	4	0.000228	4	7.7320	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	401.42	0	0.4489	0	34.6812	0	27.825	0	397.217	0	161.80	4	46.9	4	33.50	4	0.0216	4	0.000228	4	7.7345	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	381.49	0	0.4553	0	34.6809	0	27.824	0	377.514	0	162.10	4	47.0	4	33.65	4	0.0576	4	0.000632	4	7.7350	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	361.24	0	0.4630	0	34.6809	0	27.824	0	357.493	0	161.76	4	46.9	4	33.61	4	0.0288	4	0.000338	4	7.7338	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	351.42	0	0.4716	0	34.6811	0	27.823	0	347.783	0	161.47	4	46.9	4	33.58	4	0.0144	4	0.000261	4	7.7345	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	341.69	0	0.4761	0	34.6811	0	27.823	0	338.161	0	161.42	4	46.9	4	33.66	4	0.0216	4	0.000316	4	7.7332	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	331.00	0	0.4823	0	34.6813	0	27.823	0	327.590	0	161.19	4	46.8	4	33.66	4	0.0216	4	0.000272	4	7.7330	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	321.41	0	0.4930	0	34.6810	0	27.822	0	318.106	0	160.98	4	46.7	4	33.64	4	0.0360	4	0.000272	4	7.7330	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	311.47	0	0.4959	0	34.6812	0	27.822	0	308.276	0	160.95	4	46.7	4	33.80	4	0.0360	4	0.000283	4	7.7330	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	301.68	0	0.5022	0	34.6813	0	27.821	0	298.593	0	160.83	4	46.7	4	33.52	4	0.0360	4	0.000305	4	7.7350	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	291.52	0	0.5071	0	34.6808	0	27.821	0	288.544	0	161.17	4	46.8	4	33.53	4	0.0288	4	0.000305	4	7.7348	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	279.95	0	0.5145	0	34.6808	0	27.820	0	277.100	0	160.51	4	46.6	4	33.62	4	0.0360	4	0.000392	4	7.7313	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	270.64	0	0.5187	0	34.6808	0	27.820	0	267.891	0	160.13	4	46.5	4	33.63	4	0.0360	4	0.000392	4	7.7325	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	260.67	0	0.5273	0	34.6806	0	27.819	0	258.029	0	159.97	4	46.5	4	33.57	4	0.0288	4	0.000371	4	7.7316	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	251.60	0	0.5374	0	34.6801	0	27.818	0	249.056	0	159.83	4	46.5	4	33.68	4	0.0288	4	0.000392	4	7.7330	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	240.71	0	0.5448	0	34.6803	0	27.818	0	238.282	0	159.84	4	46.5	4	33.58	4	0.0360	4	0.000403	4	7.7340	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	230.93	0	0.5514	0	34.6800	0	27.817	0	228.606	0	159.86	4	46.5	4	33.65	4	0.0360	4	0.000425	4	7.7328	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	221.16	0	0.5582	0	34.6795	0	27.816	0	218.940	0	159.75	4	46.5	4	33.65	4	0.0288	4	0.000534	4	7.7344	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	210.86	0	0.5667	0	34.6788	0	27.815	0	208.748	0	159.62	4	46.4	4	33.62	4	0.0432	4	0.000403	4	7.7341	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	200.79	0	0.5735	0	34.6782	0	27.814	0	198.784	0	159.59	4	46.4	4	33.68	4	0.0504	4	0.000382	4	7.7334	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	191.66	0	0.5771	0	34.6767	0	27.813	0	189.750	0	159.55	4	46.4	4	33.54	4	0.0432	4	0.000349	4	7.7341	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	181.01	0	0.5744	0	34.6737	0	27.811	0	179.210	0	159.77	4	46.5	4	33.49	4	0.0432	4	0.000305	4	7.7337	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	171.25	0	0.5594	0	34.6693	0	27.808	0	169.551	0	160.32	4	46.6	4	33.37	4	0.0360	4	0.000360	4	7.7349	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	161.27	0	0.5268	0	34.6626	0	27.805	0	159.674	0	161.49	4	46.9	4	33.38	4	0.0504	4	0.000349	4	7.7381	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	151.64	0	0.4712	0	34.6507	0	27.798	0	150.143	0	163.51	4	47.4	4	33.21	4	0.0576	4	0.000589	4	7.7407	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	141.43	0	0.3324	0	34.6230	0	27.784	0	140.037	0	167.80	4	48.5	4	32.82	4	0.0720	4	0.000316	4	7.7484	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	131.05	0	0.0838	0	34.5752	0	27.759	0	129.763	0	177.59	4	51.0	4	32.52	4	0.1152	4	0.000392	4	7.7609	4
5904397	1	C	01/22/2015	05:14	359.971	-61.022	0	121.25	0	-0.3656	0	34.4871	0	27.711	0	120.062	0	194.14	4	55.1	4	30.90	4	0.1296	4	0.000380	4	7.7893	4
