//0
//File updated on 06/05/2018 19:11
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904396
//Univ. of Washington ID: 9031
//MBARI ID: 9031SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 27 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 130 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	5386	
//Temperature[°C]	Sbe41cp	5386	
//Salinity[pss]	Sbe41cp	5386	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1461	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#G2.C01.7408 Spec#072 APEX Ti Equitech probe 20130920RR10.01 MBARI ARGO float#0107	
//Chl_a[mg/m^3]	FLBBAP2	3306	
//Chl_a_corr[mg/m^3]	FLBBAP2	3306	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3306	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3306	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	0061	
//pH25C[Total]	Durafet	0061	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087)
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: XXXXXXXXXX, section 3.4, equation 2.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0960	0.0000	0.0000
//Nitrate	1	1.0000	2.0727	0.0000
//Nitrate	2	1.0000	-1.4705	0.0000
//Nitrate	3	1.0000	-0.5662	-1.7039
//Nitrate	47	1.0000	-0.3079	0.0000
//Nitrate	99	1.0000	-0.5263	0.4303
//Nitrate	130	1.0000	0.1685	0.0000
//pH	1	1.0000	-0.0660	0.0000
//pH	2	1.0000	0.0310	0.0000
//pH	3	1.0000	0.0120	-0.1350
//pH	34	1.0000	0.0000	-0.0360
//pH	64	1.0000	-0.0040	-0.0050
//pH	130	1.0000	-0.0020	0.0000
//Chl	1	0.5000	0.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904396	1	C	04/12/2014	03:18	209.989	-55.010	0	1498.85	0	2.1721	0	34.6922	0	27.719	0	1480.015	0	180.1	0	54.6	0	32.32	0	0.0036	0	0.0012	0	0.000233	1	-1E+10	1	0.86	1	7.8565	0	7.5851	0	2348	0	2255	0	531.0	0
5904396	1	C	04/12/2014	03:18	209.989	-55.010	0	1398.50	0	2.2552	0	34.6734	0	27.697	0	1381.254	0	176.5	0	53.6	0	32.63	0	0.0072	0	0.0024	0	0.000244	1	-1E+10	1	0.89	1	7.8501	0	7.5769	0	2346	0	2256	0	545.7	0
5904396	1	C	04/12/2014	03:18	209.989	-55.010	0	1299.59	0	2.3099	0	34.6497	0	27.673	0	1283.865	0	172.4	0	52.4	0	33.06	0	0.0036	0	0.0012	0	0.000233	1	-1E+10	1	0.86	1	7.8468	0	7.5710	0	2343	0	2256	0	556.1	0
5904396	1	C	04/12/2014	03:18	209.989	-55.010	0	1198.89	0	2.3621	0	34.6337	0	27.655	0	1184.667	0	171.6	0	52.2	0	33.20	0	0.0072	0	0.0024	0	0.000244	1	-1E+10	1	0.89	1	7.8451	0	7.5665	0	2341	0	2256	0	564.7	0
5904396	1	C	04/12/2014	03:18	209.989	-55.010	0	1098.63	0	2.4310	0	34.6069	0	27.627	0	1085.855	0	170.6	0	52.0	0	33.52	0	0.0036	0	0.0012	0	0.000309	1	-1E+10	1	1.06	1	7.8424	0	7.5614	0	2338	0	2255	0	574.9	0
5904396	1	C	04/12/2014	03:18	209.989	-55.010	0	999.35	0	2.5182	0	34.5648	0	27.586	0	987.963	0	171.0	0	52.2	0	33.95	0	0.0108	0	0.0036	0	0.000255	1	-1E+10	1	0.92	1	7.8391	0	7.5560	0	2334	0	2253	0	585.5	0
5904396	1	C	04/12/2014	03:18	209.989	-55.010	0	951.03	0	2.5613	0	34.5438	0	27.565	0	940.302	0	171.4	0	52.4	0	33.89	0	0.0072	0	0.0024	0	0.000266	1	-1E+10	1	0.95	1	7.8314	0	7.5479	0	2331	0	2253	0	599.8	0
5904396	1	C	04/12/2014	03:18	209.989	-55.010	0	900.79	0	2.5845	0	34.5230	0	27.546	0	890.736	0	172.9	0	52.9	0	34.09	0	0.0108	0	0.0036	0	0.000256	1	-1E+10	1	0.92	1	7.8316	0	7.5466	0	2329	0	2251	0	602.5	0
5904396	1	C	04/12/2014	03:18	209.989	-55.010	0	851.09	0	2.6141	0	34.5036	0	27.528	0	841.690	0	174.4	0	53.4	0	34.05	0	0.0108	0	0.0036	0	0.000266	1	-1E+10	1	0.95	1	7.8325	0	7.5460	0	2326	0	2249	0	604.1	0
5904396	1	C	04/12/2014	03:18	209.989	-55.010	0	801.73	0	2.6596	0	34.4735	0	27.500	0	792.969	0	177.0	0	54.2	0	34.12	0	0.0072	0	0.0024	0	0.000277	1	-1E+10	1	0.97	1	7.8340	0	7.5462	0	2323	0	2246	0	604.6	0
5904396	1	C	04/12/2014	03:18	209.989	-55.010	0	750.82	0	2.6742	0	34.4308	0	27.464	0	742.706	0	181.4	0	55.6	0	34.13	0	0.0072	0	0.0024	0	0.000288	1	-1E+10	1	1.00	1	7.8349	0	7.5454	0	2320	0	2243	0	606.1	0
5904396	1	C	04/12/2014	03:18	209.989	-55.010	0	701.06	0	2.7817	0	34.4055	0	27.434	0	693.566	0	186.1	0	57.1	0	33.91	0	0.0072	0	0.0024	0	0.000321	1	-1E+10	1	1.09	1	7.8432	0	7.5525	0	2317	0	2238	0	596.8	0
5904396	1	C	04/12/2014	03:18	209.989	-55.010	0	651.23	0	2.8458	0	34.3759	0	27.405	0	644.346	0	191.0	0	58.7	0	33.62	0	0.0072	0	0.0024	0	0.000299	1	-1E+10	1	1.03	1	7.8524	0	7.5599	0	2313	0	2232	0	586.1	0
5904396	1	C	04/12/2014	03:18	209.989	-55.010	0	601.47	0	2.9425	0	34.3325	0	27.361	0	595.183	0	199.2	0	61.4	0	33.28	0	0.0144	0	0.0048	0	0.000321	1	-1E+10	1	1.09	1	7.8612	0	7.5673	0	2309	0	2225	0	576.1	0
5904396	1	C	04/12/2014	03:18	209.989	-55.010	0	551.51	0	3.0832	0	34.3097	0	27.330	0	545.811	0	204.1	0	63.1	0	32.77	0	0.0036	0	0.0012	0	0.000322	1	-1E+10	1	1.09	1	7.8702	0	7.5757	0	2305	0	2219	0	566.1	0
5904396	1	C	04/12/2014	03:18	209.989	-55.010	0	501.37	0	3.1968	0	34.2779	0	27.294	0	496.249	0	211.2	0	65.4	0	32.02	0	0.0072	0	0.0024	0	0.000300	1	-1E+10	1	1.03	1	7.8832	0	7.5872	0	2301	0	2211	0	550.6	0
5904396	1	C	04/12/2014	03:18	209.989	-55.010	0	451.15	0	3.3334	0	34.2382	0	27.249	0	446.596	0	222.9	0	69.3	0	31.26	0	0.0036	0	0.0012	0	0.000333	1	-1E+10	1	1.12	1	7.8969	0	7.5998	0	2297	0	2202	0	534.6	0
5904396	1	C	04/12/2014	03:18	209.989	-55.010	0	401.22	0	3.4387	0	34.1929	0	27.203	0	397.218	0	234.4	0	73.0	0	30.18	0	0.0036	0	0.0012	0	0.000333	1	-1E+10	1	1.12	1	7.9177	0	7.6185	0	2291	0	2190	0	509.6	0
