//0
//File updated on 09/11/2018 23:37
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904675
//Univ. of Washington ID: 9749
//MBARI ID: 9749SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	7185	
//Temperature[°C]	Sbe41cp	7185	
//Salinity[pss]	Sbe41cp	7185	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1870	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0043 Spec#098656 Equitech Ti probe #20150209RR10.32  MBARI ARGO float#719  DF#87  CTD#7185	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//pHinsitu[Total]	Durafet	87	
//pH25C[Total]	Durafet	87	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232)
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0768	0.0000	0.0000
//Nitrate	1	1.0000	-0.5053	0.0000
//Nitrate	2	1.0000	-0.8504	0.2067
//Nitrate	39	1.0000	-0.2389	0.4666
//Nitrate	75	1.0000	-0.3799	0.0000
//Nitrate	76	1.0000	0.1265	0.0000
//Nitrate	77	1.0000	-1.5443	35.0082
//Nitrate	79	1.0000	-0.2615	-4.9616
//Nitrate	86	1.0000	0.1571	0.0000
//pH	1	1.0000	0.0155	0.0000
//pH	2	1.0000	-0.0193	0.0140
//pH	52	1.0000	-0.0021	-0.0088
//pH	65	1.0000	0.0005	0.0185
//pH	86	1.0000	-0.0028	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904675	1	C	01/13/2016	07:34	99.470	-39.451	0	1798.82	0	2.5593	0	34.6566	0	27.661	0	1777.472	0	174.58	0	53.4	0	32.81	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8407	0	7.5873	0	2348	0	2255	0	534.3	0
5904675	1	C	01/13/2016	07:34	99.470	-39.451	0	1699.35	0	2.6215	0	34.6251	0	27.630	0	1679.576	0	174.55	0	53.5	0	33.00	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8373	0	7.5814	0	2345	0	2254	0	544.6	0
5904675	1	C	01/13/2016	07:34	99.470	-39.451	0	1598.98	0	2.7097	0	34.5933	0	27.596	0	1580.748	0	172.02	0	52.8	0	33.48	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8309	0	7.5732	0	2343	0	2255	0	559.6	0
5904675	1	C	01/13/2016	07:34	99.470	-39.451	0	1498.30	0	2.8429	0	34.5586	0	27.556	0	1481.568	0	168.70	0	51.9	0	33.90	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8280	0	7.5688	0	2340	0	2254	0	570.1	0
5904675	1	C	01/13/2016	07:34	99.470	-39.451	0	1398.82	0	2.9544	0	34.5265	0	27.520	0	1383.525	0	169.66	0	52.4	0	34.01	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8278	0	7.5665	0	2335	0	2250	0	576.3	0
5904675	1	C	01/13/2016	07:34	99.470	-39.451	0	1299.85	0	3.1259	0	34.4829	0	27.469	0	1285.938	0	173.23	0	53.7	0	33.85	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8299	0	7.5672	0	2329	0	2244	0	578.9	0
5904675	1	C	01/13/2016	07:34	99.470	-39.451	0	1199.25	0	3.3151	0	34.4462	0	27.422	0	1186.699	0	178.21	0	55.5	0	33.52	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8361	0	7.5717	0	2322	0	2236	0	575.7	0
5904675	1	C	01/13/2016	07:34	99.470	-39.451	0	1098.96	0	3.5580	0	34.4087	0	27.368	0	1087.718	0	184.72	0	57.8	0	32.89	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8471	0	7.5814	0	2315	0	2226	0	565.9	0
5904675	1	C	01/13/2016	07:34	99.470	-39.451	0	998.73	0	3.8843	0	34.3767	0	27.310	0	988.749	0	192.51	0	60.7	0	32.04	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8595	0	7.5935	0	2309	0	2215	0	554.4	0
5904675	1	C	01/13/2016	07:34	99.470	-39.451	0	951.27	0	4.1546	0	34.3795	0	27.284	0	941.870	0	191.63	0	60.8	0	31.47	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8570	0	7.5933	0	2307	0	2214	0	561.5	0
5904675	1	C	01/13/2016	07:34	99.470	-39.451	0	901.35	0	4.4486	0	34.3685	0	27.244	0	892.550	0	194.86	0	62.3	0	30.72	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8627	0	7.6008	0	2302	0	2207	0	556.4	0
5904675	1	C	01/13/2016	07:34	99.470	-39.451	0	851.59	0	4.7788	0	34.3680	0	27.207	0	843.376	0	196.93	0	63.4	0	30.03	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8663	0	7.6068	0	2299	0	2201	0	554.8	0
5904675	1	C	01/13/2016	07:34	99.470	-39.451	0	800.84	0	5.1171	0	34.3744	0	27.174	0	793.212	0	197.53	0	64.1	0	29.33	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8694	0	7.6126	0	2296	0	2197	0	554.0	0
