BOTTLE,20161010CCHSIOCBG
# changed fill value flag to 9 for SILCAT, NITRAT, NITRIT, PHSPHT
# BOTTLE,20160816PRINUNIVRMK
# 12/16/2014 Initialized README file  
# Data source: Final shipboard files from Dan Schuller 1/31/2015 
# SHIP: Polarstern 
# Cruise: ANT-XXX_2; PS89 
# Region: SE Atlantic; WOCE A12 
# EXPOCODE: 06AQ20141202 
# DATES: Dec. 2, 2014 - Feb.1, 2015 
# Chief Scientist: Olaf Boebel 
# 44 stations with 24 place Rosette 
# Bottom Depths from global topography 
# SOCCOM Biogeochemical floats deployed: 
# 	 WMO ID		Station     U.W.ID	 
# 	5904475		2            0037 
# 	5904474		5            9313 
# 	5904476		8            0508 
# 	5904469		12           9096 
# 	5904477		16           0509 
# 	5904467		21           7652 
# 	5904478		28           0511 
# 	5904471		31           9094 
# 	5904472		73           9275 
# 	5904468		78           9099 
# 	5904397		81           9125 
# 	5904473		82           9260 
# Supported by NSF Award PLR-1425989 to J.L. Sarmiento et al. 
# Hydro: Who - G.Rohardt/O.Boebel; Status - final 
# 	Notes: Calibrated CTD funded under HAFOS (AWI-PS89_01) to G.Rohardt 
# 	       Required SOCCOM data funded by SOCCOM (AWI-PS89_06) 
# 	See:  http://doi.pangaea.de/10.1594/PANGAEA.846701 
#               http://doi.pangaea.de/10.1594/PANGAEA.846773 
# Nutrients: Who - SIO; Status - final 
# 	Notes: converted with assumed lab temperature of 20C 
# 	Nitrate and Phosphate are ~2% lower than historical samples (calibration issue not units error)  
# 	NSF Award PLR-1425989 to J.L. Sarmiento et al. 
# O2: Who - M.Santana-Casiano/M.Gonzalez-Davila; Status - final 
# 	Notes: CTDOXY values are NOT calibrated 
# 	CTDOXY = -5.25(+/-0.51) + 0.999(+/-0.002)*OXYGEN 
# 		RSE=3.2, R^2=0.996 
# TCO2: Who - M.Santana-Casiano/M.Gonzalez-Davila; Status - final 
# 	Notes:  
# TA: Who -  M.Santana-Casiano/M.Gonzalez-Davila; Status - final 
# 	Notes: Merged & checked 5/25/16 
# 	Additional on-shore analyses A.Dickson; merged/QC 8/12/15. Excluded from final files 
# 		NSF Award PLR-1425989 to J.L. Sarmiento et al. 
# 	The two data sets disagree significantly for station 2. 
# pH: Who -  A.Dickson; Status - final 
# 	Notes: On-shore analyses; merged/QC 8/12/15 
# 		NSF Award PLR-1425989 to J.L. Sarmiento et al. 
# POC/PON: Who - E.Boss; Status - final 
# 	Notes: NASA Grant NNX14AP49G 
# 	Volume units converted to mass with assumed density of 1.025 
# Pigments: Who - E.Boss; Status - final 
# 	Notes: NASA Grant NNX14AP49G 
# 	Added Sep. 11, 2015 
# Those using these data should reference the appropriate PIs and awards used to support the measurements 
# References that have used data from this cruise: 
# Rohardt, Gerd; Boebel, Olaf (2015): Physical oceanography during POLARSTERN cruise PS89 (ANT-XXX/2). Alfred Wegener Institute, Helmholtz Center for Polar and Marine Research, Bremerhaven, doi:10.1594/PANGAEA.846701 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,POC,POC_FLAG_W,PON,PON_FLAG_W,FUCO,FUCO_FLAG_W,ALPHA-BETA-CAR,ALPHA-BETA-CAR_FLAG_W,ALLO,ALLO_FLAG_W,BUT-FUCO,BUT-FUCO_FLAG_W,CHL_C1C2,CHL_C1C2_FLAG_W,CHL_C3,CHL_C3_FLAG_W,CHLIDE_A,CHLIDE_A_FLAG_W,DIADINO,DIADINO_FLAG_W,DIATO,DIATO_FLAG_W,DV_CHL_A,DV_CHL_A_FLAG_W,DV_CHL_B,DV_CHL_B_FLAG_W,GYRO,GYRO_FLAG_W,HEX-FUCO,HEX-FUCO_FLAG_W,LUT,LUT_FLAG_W,MV_CHL_A,MV_CHL_A_FLAG_W,MV_CHL_B,MV_CHL_B_FLAG_W,NEO,NEO_FLAG_W,PERID,PERID_FLAG_W,PHIDE_A,PHIDE_A_FLAG_W,PHYTIN_A,PHYTIN_A_FLAG_W,PRAS,PRAS_FLAG_W,TOT_CHL_A,TOT_CHL_A_FLAG_W,TOT_CHL_B,TOT_CHL_B_FLAG_W,TOT_CHL_C,TOT_CHL_C_FLAG_W,VIOLA,VIOLA_FLAG_W,ZEA,ZEA_FLAG_W,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,uG/KG,,ug/kg,,NMOL/KG,,MG/M^3,,MG/M^3,,MG/M^3,,MG/M^3,,MG/M^3,,MG/M^3,,MG/M^3,,MG/M^3,,MG/M^3,,MG/M^3,,MG/M^3,,MG/M^3,,MG/M^3,,MG/M^3,,MG/M^3,,MG/M^3,,MG/M^3,,MG/M^3,,MG/M^3,,MG/M^3,,MG/M^3,,MG/M^3,,MG/M^3,,MG/M^3,,MG/M^3,,DEG C
06AQ20141202,        A12,       1,          1,         24,2,20141204,       0643,   -37.0977,    12.7590,       4971,    15.4,  18.9701,  35.6274,2,-999.0000,9,    236.4,2,   238.7,2,    0.39,2,    0.16,2,    0.00,2,    0.09,2,  2042.5,2,  2335.0,2,-999.0000,9,  -999.00,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,  18.9674
06AQ20141202,        A12,       1,          1,         23,2,20141204,       0642,   -37.0977,    12.7590,       4971,    25.2,  18.9667,  35.6267,2,-999.0000,9,    236.3,2,   236.1,2,    0.29,2,    0.12,2,    0.00,2,    0.08,2,  2042.0,2,  2335.0,2,-999.0000,9,  -999.00,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,  18.9622
06AQ20141202,        A12,       1,          1,         22,2,20141204,       0641,   -37.0977,    12.7590,       4971,    50.0,  18.8483,  35.6187,2,-999.0000,9,    235.9,2,   237.1,2,    0.59,2,    0.16,2,    0.00,2,    0.09,2,  2041.6,2,  2334.3,2,-999.0000,9,  -999.00,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,  18.8394
06AQ20141202,        A12,       1,          1,         21,2,20141204,       0640,   -37.0977,    12.7590,       4971,    76.5,  18.1170,  35.6126,2,-999.0000,9,    224.0,2,   224.8,2,    1.76,2,    1.28,2,    0.22,2,    0.20,2,  2056.4,2,  2335.1,2,-999.0000,9,  -999.00,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,  18.1038
06AQ20141202,        A12,       1,          1,         20,2,20141204,       0638,   -37.0977,    12.7590,       4971,   100.8,  17.8514,  35.6221,2,-999.0000,9,    218.9,2,   219.8,2,    2.63,2,    2.79,2,    0.03,2,    0.26,2,  2067.1,2,  2329.9,2,-999.0000,9,  -999.00,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,  17.8342
06AQ20141202,        A12,       1,          1,         19,2,20141204,       0637,   -37.0977,    12.7590,       4971,   151.5,  17.3744,  35.5909,2,-999.0000,9,    210.8,2,   211.3,2,    3.22,2,    4.29,2,    0.00,2,    0.35,2,  2081.2,2,  2327.9,2,-999.0000,9,  -999.00,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,  17.3489
06AQ20141202,        A12,       1,          1,         18,2,20141204,       0635,   -37.0977,    12.7590,       4971,   201.4,  16.3508,  35.5208,2,-999.0000,9,    207.3,2,   208.8,2,    3.71,2,    5.56,2,    0.00,2,    0.45,2,  2093.5,2,  2325.1,2,-999.0000,9,  -999.00,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,  16.3183
06AQ20141202,        A12,       1,          1,         17,2,20141204,       0633,   -37.0977,    12.7590,       4971,   302.3,  15.0274,  35.4393,2,-999.0000,9,    212.6,2,   214.1,2,    3.80,2,    6.85,2,    0.00,2,    0.55,2,  2103.1,2,  2323.2,2,-999.0000,9,  -999.00,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,  14.9812
06AQ20141202,        A12,       1,          1,         16,2,20141204,       0630,   -37.0977,    12.7590,       4971,   404.2,  13.1629,  35.2038,2,-999.0000,9,    217.6,2,   219.7,2,    3.90,2,    9.52,2,    0.00,2,    0.71,2,  2114.2,2,  2312.3,2,-999.0000,9,  -999.00,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,  13.1063
