BOTTLE,20170321PRINUNIVRMK
# processed by CCHDO 2017-03-27 no changes
# 1/26/16 Initialized README file  
# Data source: http://www.marine.csiro.au/cgi-bin/marlin-dl/Investigator_NF/in2016_v01/data/in2016_v01Hydro_csv.zip 
# SHIP: R/V Investigator 
# Cruise: Heard Island 
# Region: WSW of Fremantle,Aus. 
# EXPOCODE: 096U20160108 
# Alias: 09IN20160108, HEOBI; IN2016_v01 
# DATES: 20160108 - 20160227 
# Chief Scientist: Mike Coffin 
# 49 stations with 24 place Rosette 
# SOCCOM Biogeochemical floats deployed by Isa Rosso 
# Sta   WMO_ID	Lat       Lon       Date       U.W.ID	 
# 2     5904675 -39.4894   99.4930   20160112      9749 
# 4     5904676 -48.2935   79.4470   20160117      9645 
# 6     5904679 -49.8698   78.6182   20160118      9757 
# Supported by NSF Award PLR-1425989 to J.L. Sarmiento et al.  
# CTD: Who - R.Robertson; Status - final 
# 	Includes: CTDSAL, CTDOXY 
# 	Values in bottle file are not calibrated 
# Salinty: Who - R.Robertson; Status - final 
# 	Notes: 	 
# Nutrients: Who - A.Bowie; Status - final 
# 	Includes: nitrate, nitrite, silicate, phopshpate 
# 	converted from umol/L to umol/kg using density calculated with 22C and measured salt 
# O2: Who - A.Bowie; Status - final 
# 	Notes: converted from umol/L to umol/kg using density calculated with 22C and measured salt 
# Alk: Who - Andrew Dickson; Status - final 
# 	Notes: Samples returned for analysis ashore 
# pH: Who - Andrew Dickson; Status - final 
# 	Notes: Samples returned for analysis ashore 
# HPLC: Who - Tom Trull; Status - 
# 	Notes:  
# POC: Who - Tom Trull; Status - 
# 	Notes:  
# Other: Who - ; Status - 
# 	Notes: trace metals Fe,Mn 
# These data should be cited as: 
# References that have used data from this cruise: The dataset in2016_v01Hydro_csv.zip downloaded on 31-Jan-2017 was collected on voyage IN2016_v01 on the RV Investigator granted by the Marine National Facility. It is made available under a Creative Commons Attribution 4.0 International Licence. 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP
,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C
  096U20160108, HEOBI,     1,  1,     24,20160110,2206,-36.3641, 103.6461, 4889,     14.1,  18.5410,  35.6610,2,  35.6460,2,    248.4,2,    244.7,2,     1.36,2,     0.04, 2,     0.02, 2,     0.12,2,   -999.0,9,-999.0000,9,  -999.00
  096U20160108, HEOBI,     1,  1,     23,20160110,2206,-36.3641, 103.6461, 4889,     15.1,  18.4280,  35.6640,2,-999.0000,9,    249.0,2,   -999.0,9,  -999.00,9,  -999.00, 9,  -999.00, 9,  -999.00,9,   -999.0,9,-999.0000,9,  -999.00
  096U20160108, HEOBI,     1,  1,     22,20160110,2205,-36.3641, 103.6461, 4889,     29.6,  16.9980,  35.6360,2,  35.6180,2,    256.5,2,    252.4,2,     1.53,2,     0.04, 2,     0.02, 2,     0.11,2,   -999.0,9,-999.0000,9,  -999.00
  096U20160108, HEOBI,     1,  1,     21,20160110,2204,-36.3641, 103.6461, 4889,     30.2,  17.0850,  35.6380,2,-999.0000,9,    256.4,2,   -999.0,9,  -999.00,9,  -999.00, 9,  -999.00, 9,  -999.00,9,   -999.0,9,-999.0000,9,  -999.00
  096U20160108, HEOBI,     1,  1,     20,20160110,2203,-36.3641, 103.6461, 4889,     50.5,  15.7720,  35.5800,2,  35.5600,2,    268.1,2,    261.3,2,     1.59,2,     0.06, 2,     0.02, 2,     0.12,2,   -999.0,9,-999.0000,9,  -999.00
  096U20160108, HEOBI,     1,  1,     18,20160110,2201,-36.3641, 103.6461, 4889,     84.2,  14.7010,  35.5700,2,  35.5530,2,    255.7,2,    248.8,2,     1.67,2,     1.62, 2,     0.22, 2,     0.24,2,   -999.0,9,-999.0000,9,  -999.00
  096U20160108, HEOBI,     1,  1,     19,20160110,2202,-36.3641, 103.6461, 4889,     84.3,  14.7000,  35.5700,2,-999.0000,9,    255.8,2,   -999.0,9,  -999.00,9,  -999.00, 9,  -999.00, 9,  -999.00,9,   -999.0,9,-999.0000,9,  -999.00
  096U20160108, HEOBI,     1,  1,     17,20160110,2200,-36.3641, 103.6461, 4889,    100.6,  14.6330,  35.5660,2,  35.5500,2,    252.4,2,    247.5,2,     1.68,2,     1.90, 2,     0.06, 2,     0.25,2,   -999.0,9,-999.0000,9,  -999.00
  096U20160108, HEOBI,     1,  1,     16,20160110,2159,-36.3641, 103.6461, 4889,    150.1,  14.5110,  35.5490,2,  35.5320,2,    252.8,2,    247.9,2,     1.66,2,     2.04, 2,     0.02, 2,     0.27,2,   -999.0,9,-999.0000,9,  -999.00
