MBARI_ID	UW_ID	WMO	CRUISE	STN	CAST	Data file
6091SOOCN	6091	5904179	P16S	1	2	320620140320_hy1_jp.csv
7557SOOCN	7557	5904181	P16S	2	1	320620140320_hy1_jp.csv
7567SOOCN	7567	5904182	P16S	3	1	320620140320_hy1_jp.csv
7613SOOCN	7613	5904180	P16S	4	3	320620140320_hy1_jp.csv
7614SOOCN	7614	5904183	P16S	5	3	320620140320_hy1_jp.csv
9091SOOCN	9091	5904184	P16S	11	1	320620140320_hy1_jp.csv
9092SOOCN	9092	5904185	P16S	17	2	320620140320_hy1_jp.csv
9031SOOCN	9031	5904396	P16S	27	1	320620140320_hy1_jp.csv
9018SOOCN	9018	5904186	P16S	32	1	320620140320_hy1_jp.csv
9095SOOCN	9095	5904188	P16S	37	2	320620140320_hy1_jp.csv
9101SOOCN	9101	5904187	P16S	45	1	320620140320_hy1_jp.csv
9254SOOCN	9254	5904395	P16S	53	1	320620140320_hy1_jp.csv
0037SOOCN	37	5904475	A12	2	1	06AQ20141202_hy1.csv
9313SOOCN	9313	5904474	A12	5	1	06AQ20141202_hy1.csv
0508SOOCN	508	5904476	A12	8	1	06AQ20141202_hy1.csv
9096SOOCN	9096	5904469	A12	12	2	06AQ20141202_hy1.csv
0509SOOCN	509	5904477	A12	16	1	06AQ20141202_hy1.csv
7652SOOCN	7652	5904467	A12	21	1	06AQ20141202_hy1.csv
0511SOOCN	511	5904478	A12	28	1	06AQ20141202_hy1.csv
9094SOOCN	9094	5904471	A12	31	1	06AQ20141202_hy1.csv
9275SOOCN	9275	5904472	A12	73	1	06AQ20141202_hy1.csv
9099SOOCN	9099	5904468	A12	78	1	06AQ20141202_hy1.csv
9125SOOCN	9125	5904397	A12	81	1	06AQ20141202_hy1.csv
9260SOOCN	9260	5904473	A12	82	2	06AQ20141202_hy1.csv
8514SOOCN	8514	5904470	SOTS	7	1	096U20150321_hy1.csv
9668SOOCN	9668	5904663	OOISO	2	1	320620151206_hy1.csv
9666SOOCN	9666	5904662	OOISO	16	1	320620151206_hy1.csv
9646SOOCN	9646	5904661	OOISO	16	1	320620151206_hy1.csv
9652SOOCN	9652	5904660	SR1B	9	1	74JC20151217_hy1_jp.csv
9657SOOCN	9657	5904659	SR1B	12	1	74JC20151217_hy1_jp.csv
9655SOOCN	9655	5904658	SR1B	16	1	74JC20151217_hy1_jp.csv
9662SOOCN	9662	5904657	SR1B	20	1	74JC20151217_hy1_jp.csv
9749SOOCN	9749	5904675	HEOBI	2	1	096U20160108_hy1.csv
9645SOOCN	9645	5904676	HEOBI	4	1	096U20160108_hy1.csv
9757SOOCN	9757	5904679	HEOBI	6	1	096U20160108_hy1.csv
0506SOOCN	506	5904670	Kaxis	3	1	09AR20160111.exc.csv
0507SOOCN	507	5904671	Kaxis	31	1	09AR20160111.exc.csv
0564SOOCN	564	5904687	I8S	11	1	33RR20160208_hy1.csv
0510SOOCN	510	5904686	I8S	25	1	33RR20160208_hy1.csv
9602SOOCN	9602	5904684	I8S	36	1	33RR20160208_hy1.csv
9637SOOCN	9637	5904682	I8S	41	2	33RR20160208_hy1.csv
9650SOOCN	9650	5904683	I8S	48	1	33RR20160208_hy1.csv
9600SOOCN	9600	5904688	I8S	56	1	33RR20160208_hy1.csv
9631SOOCN	9631	5904677	Eddy	8	1	096U20160314_hy1.csv
9744SOOCN	9744	5904678	Eddy	27	1	096U20160314_hy1.csv
0570SOOCN	570	5904768	P15S	2	1	096U20160426_hy1.csv
0568SOOCN	568	5904767	P15S	3	1	096U20160426_hy1.csv
0565SOOCN	565	5904672	P15S	6	1	096U20160426_hy1.csv
9761SOOCN	9761	5904764	P15S	11	1	096U20160426_hy1.csv
0571SOOCN	571	5904673	P15S	15	1	096U20160426_hy1.csv
9265SOOCN	9265	5904695	P15S	19	1	096U20160426_hy1.csv
0566SOOCN	566	5904766	P15S	25	1	096U20160426_hy1.csv
9660SOOCN	9660	5904761	P15S	31	1	096U20160426_hy1.csv
9632SOOCN	9632	5904763	P15S	35	1	096U20160426_hy1.csv
9634SOOCN	9634	5904693	P15S	39	1	096U20160426_hy1.csv
9762SOOCN	9762	5904765	P15S	43	1	096U20160426_hy1.csv
9630SOOCN	9630	5904674	P15S	57	1	096U20160426_hy1.csv
9752SOOCN	9752	5904694	P15S	61	1	096U20160426_hy1.csv
9766SOOCN	9766	5904844	P18	128	1	33RO20161119_hy1.csv
9659SOOCN	9659	5904843	P18	138	1	33RO20161119_hy1.csv
9642SOOCN	9642	5904685	P18	146	1	33RO20161119_hy1.csv
12382SOOCN	12382	5904841	P18	158	1	33RO20161119_hy1.csv
12552SOOCN	12552	5904842	P18	170	1	33RO20161119_hy1.csv
9750SOOCN	9750	5904845	P18	186	1	33RO20161119_hy1.csv
8501SOOCN	8501	5905075	P18	202	1	33RO20161119_hy1.csv
12575SOOCN	12575	5904854	HazMat	1	2	320620161224_hy1.csv
12573SOOCN	12573	5904982	HazMat	2	2	320620161224_hy1.csv
0569SOOCN	569	5904984	HazMat	4	2	320620161224_hy1.csv
12545SOOCN	12545	5904856	HazMat	6	2	320620161224_hy1.csv
12543SOOCN	12543	5904980	HazMat	14	2	320620161224_hy1.csv
0567SOOCN	567	5904983	HazMat	15	2	320620161224_hy1.csv
12559SOOCN	12559	5904855	HazMat	16	2	320620161224_hy1.csv
12549SOOCN	12549	5904859	HazMat	17	2	320620161224_hy1.csv
12390SOOCN	12390	5904981	HazMat	18	2	320620161224_hy1.csv
12551SOOCN	12551	5904858	HazMat	19	4	320620161224_hy1.csv
12541SOOCN	12541	5904860	HazMat	20	2	320620161224_hy1.csv
12381SOOCN	12381	5904857	HazMat	24	2	320620161224_hy1.csv
0692SOOCN	692	5905073	ACE	-999	-999	
0691SOOCN	691	5905072	ACE	-999	-999	
12537SOOCN	12537	5905070	ACE	20	8	RUB320161220.exc.csv
12558SOOCN	12558	5905069	ACE	20	8	RUB320161220.exc.csv
12371SOOCN	12371	5905078	P17S	2	1	49NZ20170208.exc.csv
12379SOOCN	12379	5905077	P17S	4	1	49NZ20170208.exc_JP.csv
12366SOOCN	12366	5905080	P17S	8	1	49NZ20170208.exc_JP.csv
12386SOOCN	12386	5905076	P17S	18	1	49NZ20170208.exc_JP.csv
12542SOOCN	12542	5905079	P17S	24	1	49NZ20170208.exc_JP.csv
5145Hawaii	5145	5901468	HOT_ALOHA	1980	5	HOT_ALOHA.csv
6401HAWAII	6401	1901379	HOT_ALOHA	2160	4	HOT_ALOHA.csv
6891HAWAII	6891	5903272	HOT_ALOHA	2210	8	HOT_ALOHA.csv
6403HAWAII	6403	5903385	HOT_ALOHA	2280	3	HOT_ALOHA.csv
6966HAWAII	6966	NO_WMO_6966	HOT_ALOHA	2340	14	HOT_ALOHA.csv
7622HAWAII	7622	5903611	HOT_ALOHA	2360	4	HOT_ALOHA.csv
7672HAWAII	7672	5903893	HOT_ALOHA	2470	3	HOT_ALOHA.csv
8497HAWAII	8497	5904094	HOT_ALOHA	2490	6	HOT_ALOHA.csv
8486HAWAII	8486	5904124	HOT_ALOHA	2520	200	HOT_ALOHA.csv
8514HAWAII	8514	5904172	HOT_ALOHA	2590	3	HOT_ALOHA.csv
0412HAWAII	412	NO_WMO_0412	HOT_ALOHA	2660	3	HOT_ALOHA.csv
9274HAWAII	9274	5904655	HOT_ALOHA	2740	4	HOT_ALOHA.csv
7593HAWAII	7593	5903754	HOT_ALOHA	2430	3	HOT_ALOHA.csv
7597HAWAII	7597	5903753	HOT_ALOHA	2420	3	HOT_ALOHA.csv
5143STNP	5143	5902128	Line P	200816	72	STNP.csv
6400STNP	6400	5903274	Line P	201016	49	STNP.csv
6881STNP	6881	5903891	Line P	201316	42	STNP.csv
6972STNP	6972	5903405	Line P	201116	58	STNP.csv
7601STNP	7601	5903714	Line P	201216	50	STNP.csv
7641STNP	7641	5904125	Line P	201316	86	STNP.csv
12372SOOCN 	12372	5905107	P06	134	1	320620170703.exc.csv
12380SOOCN 	12380	5905108	P06	99	1	320620170703.exc.csv
12396SOOCN 	12396	5905104	P06	160	2	320620170820.exc.csv
12540SOOCN 	12540	5905105	P06	235	1	320620170820.exc.csv
8204SOOCN 	8204	5905109	P06	185	1	320620170820.exc.csv
12369SOOCN 	12369	5905106	P06	223	1	320620170820.exc.csv
12723SOOCN 	12723	5905134	Gough Island	3	1	91AH20170907.exc.csv
12729SOOCN 	12729	5905133	Gough Island	2	1	91AH20170907.exc.csv
12742SOOCN 	12742	5905135	Gough Island	4	1	91AH20170907.exc.csv
12744SOOCN 	12744	5905130	Gough Island	1	1	91AH20170907.exc.csv
12745SOOCN 	12745	5905132	Gough Island	5	1	91AH20170907.exc.csv
12733SOOCN 	12733	5905131	Gough Island	6	1	91AH20170907.exc.csv
