"Argo User's manual reference table 3 : list of physical parameters, last update : 02/02/2016"									
Order	parameter name	Parameter name short version Backup	long_name	cf_standard_name	cf_standard_name_uri	unit	valid_min	valid_max	core/bio/intermediate
1	CNDC	CNDC	Electrical conductivity	sea_water_electrical_conductivity		mhos/m	0.f	8.5f	c
2	PRES	PRES	"Sea water pressure, equals 0 at sea-level"	sea_water_pressure		decibar	0.f	12000.f	c
3	PSAL	PSAL	Practical salinity	sea_water_salinity		psu	2.f	41.f	c
4	TEMP	TEMP	Sea temperature in-situ ITS-90 scale	sea_water_temperature		degree_Celsius	-2.5f	40.f	c
5	DOXY	DOXY	Dissolved oxygen	moles_of_oxygen_per_unit_mass_in_sea_water		micromole/kg	-5.f	600.f	b
6	TEMP_DOXY	TEMP_DOXY	Sea temperature from oxygen sensor ITS-90 scale	temperature_of_sensor_for_oxygen_in_sea_water		degree_Celsius	-2.f	40.f	i
7	TEMP_VOLTAGE_DOXY		Thermistor voltage reported by oxygen sensor	-		volt	-	-	i
8	VOLTAGE_DOXY	VOLTAGE_DOXY	Voltage reported by oxygen sensor	-		volt	0.f	100.f	i
9	FREQUENCY_DOXY	FREQUENCY_DOXY	Frequency reported by oxygen sensor	-		hertz	0.f	25000.f	i
10	COUNT_DOXY	COUNT_DOXY	Count reported by oxygen sensor	-		count	-	-	i
11	BPHASE_DOXY	BPHASE_DOXY	Uncalibrated phase shift reported by oxygen sensor	-		degree	10.f	70.f	i
12	DPHASE_DOXY	DPHASE_DOXY	Calibrated phase shift reported by oxygen sensor	-		degree	10.f	70.f	i
13	TPHASE_DOXY	TPHASE_DOXY	Uncalibrated phase shift reported by oxygen sensor	-		degree	10.f	70.f	i
14	C1PHASE_DOXY	C1PHASE_DOXY	Uncalibrated phase shift reported by oxygen sensor	-		degree	10.f	70.f	i
15	C2PHASE_DOXY	C2PHASE_DOXY	Uncalibrated phase shift reported by oxygen sensor	-		degree	0.f	15.f	i
