% This file lists a record of bad sensor data for a given float			
% SENSOR OPTIONS ARE:			
%	S    = Salinity		
%	T    = Temperature		
%	O    = Oxygen		
%	N    = Nitrate		
%	PH   = pH		
%	CHL  = Chlorophyll		
%	BBP  = Particle backscatter		
%	CDOM = Colored Disolved Organic Matter		
% CYCLES is a character string representing bad profiles for a given sensor			
% Valid string examples can be mixed:			
%	1, 3, 4, 5, or 1,3,4,5		
%	-8 or 10-20 or 100- for 1 to 8, 10 to 20, 100 to INF		
%	1,3,4,5, 10-20, 100-		
%			
WMO #	MBARI ID STR	SENSOR	CYCLES
1901329	ODV1901329	BBP	 300-
5905167	ODV5905167	CHL	428,
6901524	ODV6901524	BBP	252,257-261,263-271,325,338,339,
6901529	ODV6901529	BBP	2,
6901494	ODV6901494	BBP	198-285,301-318,334-356
6901495	ODV6901495	BBP	140-281
3901496	ODV3901496	BBP	7,
5904923	ODV5904923	CHL	310,313,314,315,317,325,326,332,
5904923	ODV5904923	BBP	353-367
6901473	ODV6901473	CHL	556
6901473	ODV6901473	BBP	551-556
6901152	ODV6901152	BBP	200-226
6901776	ODV6901776	BBP	256-
6901660	ODV6901660	BBP	133-
6901653	ODV6901653	BBP	203-209,228-
6901585	ODV6901585	BBP	144
1901329	ODV1901329	BBP	320
2902092	ODV2902092	BBP	121-
2902130	ODV2902130	BBP	133-
5903630	ODV5903630	BBP	32-62
5903955	ODV5903955	BBP	426,
5904882	ODV5904882	BBP	564-
5904923	ODV5904923	BBP	306-
6901004	ODV6901004	BBP	106-108
6901152	ODV6901152	BBP	98-
6901183	ODV6901183	BBP	130,
6901437	ODV6901437	BBP	113-
6901439	ODV6901439	BBP	274-
6901473	ODV6901473	BBP	354-
6901474	ODV6901474	BBP	366-
6901513	ODV6901513	BBP	197-
6901575	ODV6901575	BBP	110,
6901576	ODV6901576	BBP	35,48,
6901581	ODV6901581	BBP	346-348
6901647	ODV6901647	BBP	39, 43,48-51,208-209,285
6901180	ODV6901180	BBP	23,38,204-216
1901339	ODV1901339	BBP	318,560,645,719
6901654	ODV6901654	BBP	290


