//0
//<Encoding>UTF-8</Encoding>
//File updated on 08/13/2024 16:23
//!! ADJUSTED DATA FILE !!
//WMO ID: 1902646
//Institution ID: 21810
//MBARI ID: ua21810
//Project Name: GO-BGC
//Region: NPac
//No missing float profiles
//Missing Float position interpolated for station(s): 5 
//Latitude quality flag = 4 for interpolated float positions
//No missing data found
//"IceEvRec" = 1 indicates that the float was unable to surface as a result of the ice-avoidance algorithm. Note that this result does not necessarily signify the presence of sea-ice.
//"IceEvRec" = 0 indicates that the float was able to surface as a result of the ice-avoidance algorithm (and/or the absence of ice-avoidance algorithm software, ie for low-latitude floats)
//For more information on the technical aspects of the ice-avoidance algorithm onboard profiling floats, please see Riser et al (2018)  https://doi.org/10.1002/2017JC013419
//<MetaVariable>label="IceEvRec" value_type="INTEGER" significant_digits="0"</MetaVariable>
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	17435	
//Temperature[°C]	Sbe41cp	17435	
//Salinity[pss]	Sbe41cp	17435	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3796	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#K21.A20.212175 Spec#144199 Ti probe #2111092.065  ARGO float#1058  DF#SBE12113  CTD#17435	
//Chl_a[mg/m^3]	FLBBAP2	7410	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	7410	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//POC[mmol/m^3]	FLBBAP2	7410	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	12113	
//pH25C[Total]	Durafet	12113	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim Eqn7, MeasIDVec = [1 6 7] (PSAL, DOXY_ADJ, TEMP), (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(Sharp et al., 2020; see also Lewis and Wallace 1998)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//This correction is not necessary for DIC and DIC is computed with the reported pH and the TALK_LIAR value.
//
//NOTE ON Chl_a [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0420	0.0000	0.0000
//Nitrate	1	1.0000	-2.8584	-22.0338
//Nitrate	3	1.0000	-3.5288	3.2800
//Nitrate	14	1.0000	-2.7397	0.3428
//Nitrate	27	1.0000	-2.5150	0.0000
//pH	1	1.0000	0.0310	-0.4970
//pH	3	1.0000	0.0151	0.0051
//pH	25	1.0000	0.0278	0.0831
//pH	27	1.0000	0.0250	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	IceEvRec	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	b_bp700[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF	NO3raw[µmol/kg]	QF	NO3Lasso [µmol/kg]	QF
1902646	1	C	10/30/2023	10:42	179.075	32.522	0	0	1999.87	0	1.9811	0	34.5173	0	27.597	0	1976.401	0	68.36	0	20.6	0	41.47	0	0.0182	0	0.000266	0	0.94	0	7.6375	0	7.4083	0	2394	0	2364	0	857.6	0	40.04	1	38.11	1
1902646	1	C	10/30/2023	10:42	179.075	32.522	0	0	1899.01	0	2.0843	0	34.5055	0	27.579	0	1877.168	0	61.73	0	18.6	0	41.86	0	0.0182	0	0.000254	0	0.91	0	7.6256	0	7.3957	0	2395	0	2369	0	893.7	0	40.42	1	38.52	1
1902646	1	C	10/30/2023	10:42	179.075	32.522	0	0	1799.37	0	2.1951	0	34.4905	0	27.558	0	1779.091	0	54.46	0	16.5	0	42.20	0	0.0182	0	0.000266	0	0.95	0	7.6063	0	7.3768	0	2395	0	2375	0	947.9	0	40.75	1	38.87	1
1902646	1	C	10/30/2023	10:42	179.075	32.522	0	0	1699.13	0	2.2733	0	34.4737	0	27.537	0	1680.377	0	47.62	0	14.4	0	42.61	0	0.0219	0	0.000266	0	0.95	0	7.5927	0	7.3624	0	2393	0	2379	0	990.8	0	41.16	1	39.25	1
1902646	1	C	10/30/2023	10:42	179.075	32.522	0	0	1599.42	0	2.3625	0	34.4578	0	27.517	0	1582.140	0	42.22	0	12.8	0	42.86	0	0.0182	0	0.000266	0	0.95	0	7.5793	0	7.3482	0	2392	0	2382	0	1035.1	0	41.39	1	39.50	1
1902646	1	C	10/30/2023	10:42	179.075	32.522	0	0	1498.99	0	2.5116	0	34.4293	0	27.481	0	1483.147	0	35.22	0	10.7	0	43.22	0	0.0146	0	0.000278	0	0.98	0	7.5622	4	7.3316	4	2388	0	2384	4	1090.5	4	41.75	1	39.82	1
1902646	1	C	10/30/2023	10:42	179.075	32.522	0	0	1398.94	0	2.6967	0	34.3994	0	27.441	0	1384.482	0	29.57	0	9.1	0	43.48	0	0.0255	0	0.000279	0	0.98	0	7.5469	0	7.3169	0	2382	0	2384	0	1143.2	0	42.00	1	39.98	1
1902646	1	C	10/30/2023	10:42	179.075	32.522	0	0	1300.16	0	2.8575	0	34.3586	0	27.394	0	1287.024	0	26.54	0	8.2	0	43.45	0	0.0255	0	0.000279	0	0.98	0	7.5355	0	7.3053	0	2376	0	2381	0	1186.4	0	41.95	1	39.95	1
1902646	1	C	10/30/2023	10:42	179.075	32.522	0	0	1199.18	0	3.0786	0	34.3158	0	27.339	0	1187.349	0	25.52	0	7.9	0	43.25	0	0.0255	0	0.000280	0	0.98	0	7.5308	0	7.3001	0	2368	0	2375	0	1211.7	0	41.72	1	39.74	1
1902646	1	C	10/30/2023	10:42	179.075	32.522	0	0	1099.42	0	3.3742	0	34.2664	0	27.272	0	1088.832	0	25.24	0	7.9	0	43.00	0	0.0219	0	0.000269	0	0.95	0	7.5244	0	7.2945	0	2357	0	2366	0	1241.6	0	41.44	1	39.44	1
1902646	1	C	10/30/2023	10:42	179.075	32.522	0	0	999.79	0	3.6952	0	34.2047	0	27.192	0	990.396	0	29.59	0	9.3	0	42.27	0	0.0219	0	0.000281	0	0.98	0	7.5267	0	7.2967	0	2346	0	2354	0	1245.7	0	40.66	1	38.71	1
1902646	1	C	10/30/2023	10:42	179.075	32.522	0	0	951.06	0	3.8937	0	34.1810	0	27.153	0	942.234	0	36.05	0	11.4	0	41.58	0	0.0255	0	0.000293	0	1.02	0	7.5271	0	7.2976	0	2340	0	2348	0	1249.9	0	39.94	1	38.00	1
1902646	1	C	10/30/2023	10:42	179.075	32.522	0	0	901.80	0	4.1234	0	34.1407	0	27.097	0	893.536	0	42.23	0	13.4	0	40.86	0	0.0219	0	0.000411	0	1.32	0	7.5353	0	7.3058	0	2332	0	2337	0	1230.2	0	39.19	1	37.21	1
1902646	1	C	10/30/2023	10:42	179.075	32.522	0	0	851.73	0	4.3063	0	34.1136	0	27.056	0	844.026	0	49.80	0	15.8	0	39.97	0	0.0182	0	0.000271	0	0.96	0	7.5476	0	7.3170	0	2325	0	2327	0	1199.5	0	38.26	1	36.33	1
1902646	1	C	10/30/2023	10:42	179.075	32.522	0	0	801.72	0	4.6181	0	34.0642	0	26.983	0	794.563	0	62.62	0	20.0	0	38.62	0	0.0182	0	0.000295	0	1.02	0	7.5713	0	7.3398	0	2315	0	2309	0	1137.1	0	36.86	1	34.91	1
1902646	1	C	10/30/2023	10:42	179.075	32.522	0	0	751.52	0	4.9291	0	34.0216	0	26.915	0	744.901	0	76.63	0	24.7	0	37.09	0	0.0182	0	0.000284	0	0.99	0	7.5924	0	7.3604	0	2305	0	2293	0	1084.4	0	35.28	1	33.37	1
1902646	1	C	10/30/2023	10:42	179.075	32.522	0	0	701.41	0	5.3914	0	33.9866	0	26.833	0	695.316	0	94.11	0	30.7	0	34.90	0	0.0182	0	0.000285	0	0.99	0	7.6295	0	7.3972	0	2294	0	2269	0	994.8	0	33.01	1	31.14	1
1902646	1	C	10/30/2023	10:42	179.075	32.522	0	0	651.18	0	5.8959	0	33.9751	0	26.763	0	645.600	0	108.01	0	35.6	0	32.83	0	0.0146	0	0.000274	0	0.97	0	7.6641	0	7.4326	0	2286	0	2250	0	919.4	0	30.87	1	29.05	1
1902646	1	C	10/30/2023	10:42	179.075	32.522	0	0	601.85	0	6.6112	0	33.9476	0	26.650	0	596.763	0	138.94	0	46.6	0	29.02	0	0.0109	0	0.000299	0	1.03	0	7.7304	0	7.4996	0	2277	0	2219	0	785.8	0	26.94	1	25.19	1
