WMO_,MBARIIDSTR,SENSOR,CYCLES,FLAG
1902303,wn1201,PH,"43-",4
1902304,wn1203,PH,"22-28",3
1902304,wn1203,PH,"29-",4
1902380,wn1345,PH,"1-",4
1902381,wn1347,PH,"1,39,70-",4
1902382,wn1348,PH,"1-",4
1902383,wn1351,PH,"70-",4
1902385,wn1355,PH,"41-",4
1902454,wn1484,PH,"1-",4
1902457,wn1490,PH,"1,2,",4
1902457,wn1490,PH,"3-",3
1902648,ua22185,PH,"1-",4
2903454,ua21485,PH,"1-",4
2903455,ua21479,PH,"1-",4
2903458,ua20103,PH,"1-",4
2903465,un1473,PH,"1-",4
2903466,un1501,PH,"4-",4
2903473,ua21441,PH,"17-",4
2903854,ua22213,PH,"1-",3
2903862,ua21285,PH,"1,",3
2903865,ua21865,PH,"1,",3
2903866,un1572,PH,"4,",4
3902557,ua23596,PH,"1-",4
4903026,ss0001,PH,"92-",4
4903273,wn1200,PH,"42-",4
4903274,wn1357,PH,"37-",4
4903365,wn1346,PH,"96-",4
4903458,wn1349,PH,"58-",4
4903459,wn1350,PH,"13-",4
4903463,wn1360,PH,"1-",4
4903485,wn1354,PH,"33-",4
4903487,wn1361,PH,"1-",4
4903489,wn1475,PH,"1-",4
4903590,ua21910,PH,"1-",4
4903591,ua21298,PH,"1-8",3
4903745,ua21576,PH,"5-7",4
4903747,ua21857,PH,"1,",3
4903751,ua21986,PH,"1,",3
4903752,un1522,PH,"1-",4
4903755,ua22958,PH,"1-",3
4903756,ua22372,PH,"1-",3
5903741,ua8374,PH,"1-",4
5903893,ua7672,PH,"54-",4
5904124,ua8486,PH,"171-",4
5904172,ua8514H,PH,"41,42,43,46-",4
5904172,ua8514H,PH,"40-",4
5904184,ua9091,PH,"152-",4
5904185,ua9092,PH,"158-",4
5904186,ua9018,PH,"1,63-",4
5904187,ua9101,PH,"1,187,188,189,190,194-",4
5904397,ua9125,PH,"1,",3
5904397,ua9125,PH,"36-",4
5904468,ua9099,PH,"144-",4
5904469,ua9096,PH,"3,",3
5904469,ua9096,PH,"67,69,72-76,80-",4
5904470,ua8514S,PH,"54-",4
5904471,ua9094,PH,"10-",4
5904472,ua9275,PH,"19-22,46-51,109-",4
5904472,ua9275,PH,"28-46",3
5904473,ua9260,PH,"48-",4
5904474,ua9313,PH,"72,108-",4
5904476,un0508,PH,"1-",4
5904655,ua9274,PH,"14-120",3
5904655,ua9274,PH,"121-",4
5904657,ua9662,PH,"58,86,93-",4
5904658,ua9655,PH,"60-",4
5904659,ua9657,PH,"106-",4
5904660,ua9652,PH,"1,87,132-",4
5904661,ua9646,PH,"112-",4
5904662,ua9666,PH,"74-",4
5904663,ua9668,PH,"108-",4
5904670,un0506,PH,"1-",4
5904671,un0507,PH,"1,36-",4
5904672,un0565,PH,"1-",4
5904674,ua9630,PH,"105, 135-149",3
5904674,ua9630,PH,"150-",4
5904675,ua9749,PH,"1,65,",3
5904676,ua9645,PH,"1-",4
5904677,ua9631,PH,"23,29-40,52-62",4
5904678,ua9744,PH,"20-",4
5904679,ua9757,PH,"1,",4
5904680,ua8501C,PH,"18-",4
5904682,ua9637,PH,"155-",4
